Case #1: 190
1 2 98127
1 3 280124
1 4 188399
1 5 14658
1 6 39538
1 7 64301
1 8 51382
1 9 17953
1 10 73487
1 11 119347
1 12 97268
1 13 23958
1 14 148677
1 15 28213
1 16 36698
1 17 130236
1 18 95591
1 19 200735
1 20 261665
2 3 378251
2 4 250965
2 5 112785
2 6 58589
2 7 162428
2 8 149509
2 9 80174
2 10 171614
2 11 217474
2 12 169629
2 13 122085
2 14 246804
2 15 126340
2 16 134825
2 17 219477
2 18 193718
2 19 298862
2 20 359792
3 4 468523
3 5 272628
3 6 319662
3 7 287999
3 8 331506
3 9 298077
3 10 238994
3 11 284854
3 12 316346
3 13 256166
3 14 131447
3 15 251911
3 16 268906
3 17 301870
3 18 319289
3 19 366242
3 20 481841
4 5 203057
4 6 227937
4 7 252700
4 8 239781
4 9 206352
4 10 261886
4 11 307746
4 12 285667
4 13 212357
4 14 337076
4 15 216612
4 16 225097
4 17 318635
4 18 283990
4 19 389134
4 20 377775
5 6 54196
5 7 56805
5 8 66040
5 9 32611
5 10 88145
5 11 134005
5 12 89772
5 13 16462
5 14 141181
5 15 20717
5 16 29202
5 17 144894
5 18 88095
5 19 215393
5 20 254169
6 7 103839
6 8 90920
6 9 21585
6 10 113025
6 11 158885
6 12 136806
6 13 63496
6 14 188215
6 15 67751
6 16 76236
6 17 160888
6 18 135129
6 19 240273
6 20 301203
7 8 115683
7 9 82254
7 10 137788
7 11 138033
7 12 32967
7 13 40343
7 14 156552
7 15 36088
7 16 53083
7 17 121017
7 18 97224
7 19 265036
7 20 197364
8 9 69335
8 10 124869
8 11 95870
8 12 148650
8 13 75340
8 14 200059
8 15 79595
8 16 88080
8 17 78854
8 18 146973
8 19 252117
8 20 313047
9 10 91440
9 11 137300
9 12 115221
9 13 41911
9 14 166630
9 15 46166
9 16 54651
9 17 139303
9 18 113544
9 19 218688
9 20 279618
10 11 45860
10 12 170755
10 13 97445
10 14 222164
10 15 101700
10 16 110185
10 17 62876
10 18 169078
10 19 127248
10 20 242847
11 12 171000
11 13 143305
11 14 268024
11 15 147560
11 16 156045
11 17 108736
11 18 169323
11 19 173108
11 20 288707
12 13 73310
12 14 189519
12 15 69055
12 16 86050
12 17 153984
12 18 64257
12 19 298003
12 20 230331
13 14 124719
13 15 4255
13 16 12740
13 17 154194
13 18 71633
13 19 224693
13 20 237707
14 15 120464
14 16 137459
14 17 277569
14 18 187842
14 19 349412
14 20 353916
15 16 16995
15 17 157105
15 18 67378
15 19 228948
15 20 233452
16 17 166934
16 18 84373
16 19 237433
16 20 250447
17 18 152307
17 19 190124
17 20 305723
18 19 258514
18 20 166074
19 20 370095
Case #2: 253
1 2 2719772
1 3 2764687
1 4 456265
1 5 1263834
1 6 1821947
1 8 1585279
1 9 1942589
1 10 2774874
1 11 3035303
1 12 2098294
1 13 1750658
1 15 760316
1 16 2211383
1 18 2297779
1 19 1335812
1 20 1794837
1 21 2332951
1 22 1154202
1 23 687240
1 24 1792421
1 25 3784911
1 26 1096913
2 3 3361183
2 4 3176037
2 5 2976556
2 6 2418443
2 8 4305051
2 9 1956161
2 10 3371370
2 11 3631799
2 12 2694790
2 13 1649652
2 15 1959456
2 16 1810189
2 18 2345927
2 19 1383960
2 20 924935
2 21 2929447
2 22 2246108
2 23 3407012
2 24 2229151
2 25 4381407
2 26 2296053
3 4 3220952
3 5 1500853
3 6 942740
3 8 2975486
3 9 3467474
3 10 1895667
3 11 2156096
3 12 1219087
3 13 3160965
3 15 3002061
3 16 1550994
3 18 2897265
3 19 2895273
3 20 2436248
3 21 1453744
3 22 2707845
3 23 2077447
3 24 1969956
3 25 2905704
3 26 2665464
4 5 1720099
4 6 2278212
4 8 2041544
4 9 2398854
4 10 3231139
4 11 3491568
4 12 2554559
4 13 2206923
4 15 1216581
4 16 2667648
4 18 2754044
4 19 1792077
4 20 2251102
4 21 2789216
4 22 1610467
4 23 1143505
4 24 2248686
4 25 4241176
4 26 1553178
5 6 558113
5 8 1474633
5 9 3082847
5 10 1511040
5 11 1771469
5 12 834460
5 13 2776338
5 15 2024150
5 16 1166367
5 18 2512638
5 19 2510646
5 20 2051621
5 21 1069117
5 22 2323218
5 23 576594
5 24 1585329
5 25 2521077
5 26 2280837
6 8 2032746
6 9 2524734
6 10 952927
6 11 1213356
6 12 276347
6 13 2218225
6 15 2059321
6 16 608254
6 18 1954525
6 19 1952533
6 20 1493508
6 21 511004
6 22 1765105
6 23 1134707
6 24 1027216
6 25 1962964
6 26 1722724
8 9 3527868
8 10 2985673
8 11 3246102
8 12 2309093
8 13 3335937
8 15 2345595
8 16 2641000
8 18 3883058
8 19 2921091
8 20 3380116
8 21 2543750
8 22 2739481
8 23 898039
8 24 3059962
8 25 3995710
8 26 2682192
9 10 3477661
9 11 3738090
9 12 2801081
9 13 306509
9 15 1182273
9 16 1916480
9 18 2452218
9 19 1490251
9 20 1031226
9 21 3035738
9 22 902965
9 23 2629829
9 24 1541184
9 25 4487698
9 26 845676
10 11 1613589
10 12 676580
10 13 3171152
10 15 3012248
10 16 1561181
10 18 2907452
10 19 2905460
10 20 2446435
10 21 911237
10 22 2718032
10 23 2087634
10 24 1980143
10 25 2363197
10 26 2675651
11 12 937009
11 13 3431581
11 15 3272677
11 16 1821610
11 18 3167881
11 19 3165889
11 20 2706864
11 21 1171666
11 22 2978461
11 23 2348063
11 24 2240572
11 25 749608
11 26 2936080
12 13 2494572
12 15 2335668
12 16 884601
12 18 2230872
12 19 2228880
12 20 1769855
12 21 234657
12 22 2041452
12 23 1411054
12 24 1303563
12 25 1686617
12 26 1999071
13 15 990342
13 16 1609971
13 18 2145709
13 19 1183742
13 20 724717
13 21 2729229
13 22 596456
13 23 2437898
